ds,y_XGBoost,y_XGBoost_lag15
2023-10-03 19:30:00,83918.5,87063.72
2023-10-03 19:45:00,84250.555,86452.16
2023-10-03 20:00:00,83212.11,86038.01
2023-10-03 20:15:00,83227.36,86452.16
2023-10-03 20:30:00,83918.5,86452.16
2023-10-03 20:45:00,84250.555,85422.52
2023-10-03 21:00:00,83775.66,86452.16
2023-10-03 21:15:00,83790.91,90203.92
2023-10-03 21:30:00,84444.875,91720.08
2023-10-03 21:45:00,84563.414,93090.836
2023-10-03 22:00:00,84155.305,90773.164
2023-10-03 22:15:00,84170.555,90773.164
2023-10-03 22:30:00,84660.38,90773.164
2023-10-03 22:45:00,84333.15,91720.08
2023-10-03 23:00:00,80274.21,88399.2
2023-10-03 23:15:00,78717.64,81155.87
2023-10-03 23:30:00,75717.67,78661.36
2023-10-03 23:45:00,72389.64,75504.055
2023-10-04 00:00:00,65547.76,66314.125
2023-10-04 00:15:00,59526.305,61257.918
2023-10-04 00:30:00,55527.44,56247.906
2023-10-04 00:45:00,51562.434,47826.94
2023-10-04 01:00:00,45630.36,44128.215
2023-10-04 01:15:00,42881.016,40041.72
2023-10-04 01:30:00,39693.582,35570.914
2023-10-04 01:45:00,37336.203,33160.266
2023-10-04 02:00:00,31844.637,29562.13
2023-10-04 02:15:00,30033.578,27191.621
2023-10-04 02:30:00,27677.598,25329.29
2023-10-04 02:45:00,26167.496,23852.525
2023-10-04 03:00:00,23367.41,21901.652
2023-10-04 03:15:00,21724.748,20675.984
2023-10-04 03:30:00,20824.021,19660.307
2023-10-04 03:45:00,19756.41,19053.375
2023-10-04 04:00:00,18900.312,18874.61
2023-10-04 04:15:00,18777.895,18874.61
2023-10-04 04:30:00,19102.309,18874.61
2023-10-04 04:45:00,19362.434,18874.61
2023-10-04 05:00:00,18724.232,18874.61
2023-10-04 05:15:00,19256.787,18874.61
2023-10-04 05:30:00,19976.59,18874.61
2023-10-04 05:45:00,20527.293,19660.307
2023-10-04 06:00:00,25184.736,22424.553
2023-10-04 06:15:00,26133.424,23066.215
2023-10-04 06:30:00,27695.928,27209.07
2023-10-04 06:45:00,28246.63,33132.535
2023-10-04 07:00:00,41995.72,40417.113
2023-10-04 07:15:00,43558.926,46382.508
2023-10-04 07:30:00,47144.906,53755.47
2023-10-04 07:45:00,47695.613,61471.227
2023-10-04 08:00:00,55997.11,64537.7
2023-10-04 08:15:00,57560.324,63261.887
2023-10-04 08:30:00,60537.152,63813.17
2023-10-04 08:45:00,61087.86,64586.754
2023-10-04 09:00:00,66793.164,68562.95
2023-10-04 09:15:00,68057.46,68562.95
2023-10-04 09:30:00,69839.75,70305.195
2023-10-04 09:45:00,70390.5,70305.195
2023-10-04 10:00:00,71712.01,72239.49
2023-10-04 10:15:00,72460.09,72239.49
2023-10-04 10:30:00,73523.31,72043.0
2023-10-04 10:45:00,73913.7,70305.195
2023-10-04 11:00:00,73714.63,70331.195
2023-10-04 11:15:00,74462.72,72599.4
2023-10-04 11:30:00,75525.94,74271.336
2023-10-04 11:45:00,75857.99,72384.625
2023-10-04 12:00:00,76635.664,72086.55
2023-10-04 12:15:00,77383.75,73349.195
2023-10-04 12:30:00,78446.97,74666.94
2023-10-04 12:45:00,78779.02,75593.4
2023-10-04 13:00:00,81532.16,76000.71
2023-10-04 13:15:00,82280.24,77546.47
2023-10-04 13:30:00,83343.46,80937.234
2023-10-04 13:45:00,83675.516,84236.734
2023-10-04 14:00:00,85182.26,84304.03
2023-10-04 14:15:00,85930.34,86084.016
2023-10-04 14:30:00,86993.56,88721.08
2023-10-04 14:45:00,87325.62,89493.35
2023-10-04 15:00:00,84356.35,89762.4
2023-10-04 15:15:00,85077.16,86452.16
2023-10-04 15:30:00,86140.375,85336.41
2023-10-04 15:45:00,86472.43,84211.53
2023-10-04 16:00:00,85866.81,83601.94
2023-10-04 16:15:00,86198.47,81487.164
2023-10-04 16:30:00,87079.914,82150.29
2023-10-04 16:45:00,87411.97,80912.03
2023-10-04 17:00:00,86663.16,82262.12
2023-10-04 17:15:00,86857.52,80252.2
2023-10-04 17:30:00,87671.28,80912.03
2023-10-04 17:45:00,88003.336,82262.12
2023-10-04 18:00:00,86784.43,83291.1
2023-10-04 18:15:00,86757.37,83601.94
2023-10-04 18:30:00,87532.266,84278.83
2023-10-04 18:45:00,87864.32,84278.83
2023-10-04 19:00:00,86862.2,84895.11
2023-10-04 19:15:00,86835.14,85312.37
2023-10-04 19:30:00,87526.28,84895.11
2023-10-04 19:45:00,87858.336,83564.805
2023-10-04 20:00:00,86862.2,83166.445
2023-10-04 20:15:00,86835.14,84241.695
2023-10-04 20:30:00,87526.28,83564.805
2023-10-04 20:45:00,87858.336,84895.11
2023-10-04 21:00:00,86896.48,84241.695
2023-10-04 21:15:00,86869.414,90203.92
2023-10-04 21:30:00,87523.38,91720.08
2023-10-04 21:45:00,87722.12,93090.836
2023-10-04 22:00:00,87273.625,88730.79
2023-10-04 22:15:00,87246.56,88730.79
2023-10-04 22:30:00,87736.39,90773.164
2023-10-04 22:45:00,87489.35,90773.164
2023-10-04 23:00:00,82841.04,86889.945
2023-10-04 23:15:00,81283.164,78685.39
2023-10-04 23:30:00,78428.125,76477.89
2023-10-04 23:45:00,75180.29,72848.08
2023-10-05 00:00:00,65519.5,62023.9
2023-10-05 00:15:00,59498.04,60397.723
2023-10-05 00:30:00,55499.176,56247.906
2023-10-05 00:45:00,51534.168,47826.94
2023-10-05 01:00:00,45602.094,44128.215
2023-10-05 01:15:00,42852.75,40041.72
2023-10-05 01:30:00,39665.316,40041.72
2023-10-05 01:45:00,37307.938,35570.914
2023-10-05 02:00:00,31816.36,31189.598
2023-10-05 02:15:00,30005.3,29562.13
2023-10-05 02:30:00,27649.32,25538.467
2023-10-05 02:45:00,26139.219,24047.557
2023-10-05 03:00:00,23339.133,21917.043
2023-10-05 03:15:00,21696.47,20675.984
2023-10-05 03:30:00,20795.744,19660.307
2023-10-05 03:45:00,19728.133,19053.375
2023-10-05 04:00:00,18872.035,18874.61
2023-10-05 04:15:00,18749.617,18874.61
2023-10-05 04:30:00,19074.031,18874.61
2023-10-05 04:45:00,19334.156,18874.61
2023-10-05 05:00:00,18695.955,18874.61
2023-10-05 05:15:00,19228.51,18874.61
2023-10-05 05:30:00,19948.312,18874.61
2023-10-05 05:45:00,20499.016,19314.95
2023-10-05 06:00:00,25138.74,21445.031
2023-10-05 06:15:00,26087.428,22883.334
2023-10-05 06:30:00,27649.932,26578.025
2023-10-05 06:45:00,28200.635,31995.45
2023-10-05 07:00:00,41946.242,39578.36
2023-10-05 07:15:00,43509.45,46040.383
2023-10-05 07:30:00,47095.43,52494.53
2023-10-05 07:45:00,47646.137,61471.227
2023-10-05 08:00:00,55947.633,64139.863
2023-10-05 08:15:00,57510.848,62742.273
2023-10-05 08:30:00,60487.676,63261.887
2023-10-05 08:45:00,61038.383,64188.918
2023-10-05 09:00:00,66743.68,67794.15
2023-10-05 09:15:00,68007.98,68562.95
2023-10-05 09:30:00,69790.266,68562.95
2023-10-05 09:45:00,70341.016,68562.95
2023-10-05 10:00:00,71662.52,68562.95
2023-10-05 10:15:00,72410.61,70305.195
2023-10-05 10:30:00,73473.83,68562.95
2023-10-05 10:45:00,73864.22,68562.95
2023-10-05 11:00:00,73665.15,68588.95
2023-10-05 11:15:00,74413.234,72069.0
2023-10-05 11:30:00,75476.45,73331.65
2023-10-05 11:45:00,75808.51,70331.195
2023-10-05 12:00:00,76586.18,70348.74
2023-10-05 12:15:00,77334.266,70348.74
2023-10-05 12:30:00,78397.484,73349.195
2023-10-05 12:45:00,78729.54,73349.195
2023-10-05 13:00:00,81482.67,73349.195
2023-10-05 13:15:00,82230.76,76000.71
2023-10-05 13:30:00,83293.98,78825.3
2023-10-05 13:45:00,83626.03,81512.37
2023-10-05 14:00:00,85132.77,82175.49
2023-10-05 14:15:00,85880.86,84236.734
2023-10-05 14:30:00,86944.08,87109.73
2023-10-05 14:45:00,87276.13,88804.375
2023-10-05 15:00:00,84306.87,88730.79
2023-10-05 15:15:00,85027.67,85336.41
2023-10-05 15:30:00,86090.89,83291.1
2023-10-05 15:45:00,86422.945,82262.12
