ds,yhat,yhat_lower,yhat_upper
2023-09-02 23:45:00,74021.6303949949,64571.5672983511,83271.98897287501
2023-09-03 00:00:00,70508.38142964318,61605.330323859525,79249.73027583497
2023-09-03 00:15:00,66767.57276341435,57878.248686164785,75600.03289027396
2023-09-03 00:30:00,62848.06769806727,53917.720250411825,71336.03849370235
2023-09-03 00:45:00,58802.0280016796,50296.511623720886,67186.8645806945
2023-09-03 01:00:00,54683.58410103786,46080.61909635329,63577.75721467363
2023-09-03 01:15:00,50547.611785893176,41522.41321688908,59626.50770791618
2023-09-03 01:30:00,46448.65202526228,37300.685463570015,55163.7430116023
2023-09-03 01:45:00,42439.99420102409,33059.58797539721,51504.316070426874
2023-09-03 02:00:00,38572.92685882452,30047.743408131293,47557.67404219806
2023-09-03 02:15:00,34896.14522909608,25735.231350323935,43708.57841770012
2023-09-03 02:30:00,31455.292397447785,23153.718582256675,40046.37425036825
2023-09-03 02:45:00,28292.60199683594,19303.629780278254,37689.34306511784
2023-09-03 03:00:00,25446.60537466657,16933.543131650476,34273.391995141756
2023-09-03 03:15:00,22951.865527801252,13341.600581965622,31937.58125032486
2023-09-03 03:30:00,20838.70368697596,11659.24778802322,29462.569740386818
2023-09-03 03:45:00,19132.891869111518,10194.843441354953,28509.476213796595
2023-09-03 04:00:00,17855.295288960093,8506.784927583587,26602.813646648672
2023-09-03 04:15:00,17021.461138347295,7876.979377379686,25818.01862248092
2023-09-03 04:30:00,16641.16396067843,8318.710271911621,25181.810429302837
2023-09-03 04:45:00,16717.93119982702,8524.769306944523,25498.378662150826
2023-09-03 05:00:00,17248.58439515382,8204.060909484268,26152.37950633712
2023-09-03 05:15:00,18222.84073563171,9028.505033459684,26933.80095065056
2023-09-03 05:30:00,19623.025315424537,11008.458809644537,29340.137451253122
2023-09-03 05:45:00,21423.94581376911,12116.323237740635,29771.64619233549
2023-09-03 06:00:00,23592.97803854112,14874.501316921576,32564.899434542414
2023-09-03 06:15:00,26090.402873904663,16916.935461773253,34937.34322218688
